- Mirko Rivera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Nicolás Fuentes (Sub 20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ramiro González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Juan Pablo Gómez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Ezequiel Palomeque (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Manuel Aja (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Gómez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Pávez Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Larenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Galdames Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Carlos Matheu (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Quintana (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Fuentes Jiménez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Suazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Mancilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Harold Cummings Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Volker Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Villagra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Leguizamón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Stéfano Magnasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Jorquera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Federico Platero (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Tiznado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Segovia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronaldo Oyanedel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yesenia Arenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dafne Garrido Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Giménez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Constanza Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Estéfany Rivas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Osses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Isabella Ospina (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Casanova Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Roco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Peñailillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Bernal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermina Cotellessa (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Anabel Guzmán (VEN) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aixa Helbringer Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jeyson Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Véjar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pereira Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Díaz Huincales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Santander Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Muñoz Bustamante Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ámbar Soruco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Allende Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Cabrera (2007) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sara Verdugo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Scheinfelt Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Ponce Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Alarcón (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabricio Formiliano (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Amanda Videla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bianneider Tamayo (VEN) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ormeño Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Misael Dávila Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ramiro Carrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Carlos Palacios (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Ignacio Nuñez (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Luis Pavez Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Bastían Yañez (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Santiago Gallucci (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Israel Poblete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Seymour Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Dávila Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Felipe Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Pávez Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Maureira (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Jeremy Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Núñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Yulián Mejia (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Aránguiz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Fritz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Gonzalo Villagra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Lemmo (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joe Abrigo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Alejandro Chumacero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gerardo Navarrete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Rabello Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Paolo Hurtado (PER) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Carvallo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emanuel Cecchini (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Masrri Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Naranjo (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Leyton Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Uribe Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Savka Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Adriana Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Neculñir Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Verdugo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Loreto Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mariana Tiznado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego González (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Milovan Celis (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Jauregui Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emiliano Vecchio (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Anaís Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Merino Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Maura Gómez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yusmery Ascanio (VEN) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Guerrero Atenas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Valderas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Valderas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Nadruz (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cris Montes (ESP) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Muñoz Beltrán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Pardo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Margarita Collinao Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yamila Pérez Cordero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Olguín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Heidi Müller (ALE) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Castellani (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Muñoz Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Pérez Yáñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yocelin Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Núñez (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Droguett Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ulises Ojeda (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- William Machado (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Muñoz Riquelme Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Gary Tello Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Sebastián Jaime (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tobías Figueroa (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamin Cam (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Yáñez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Galdames Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Palacios Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- David Llanos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gary Tello Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. José Luis Sierra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Caballero (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Varas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rafael Arace (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Castro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Palacios Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- César Díaz (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Acevedo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Conelli Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Norambuena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Rubio Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rubén Farfán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Gárate (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Octavio Rivero (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Piñeiro (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Vásquez (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Rodríguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nayareth Salazar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Espinoza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Medel Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Verónica Riquelme Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Betsabé Osorio Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ayline Molina Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Frías (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Carlos Garrido (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Adamo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Tolosa (2003) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Ovelar (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Verónica Riquelme Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Montenegro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sol Morales Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Cayupán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Benegas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rosa Rodríguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ailen Zárate (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Fernandoy Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Suárez (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Robles (2007) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Jeraldino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Bosio (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Huerta Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Insaurralde (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Ratotti (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Aracelly Tapia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Vilches Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Veas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Vallecilla (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mitchell Wassenne Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Ovando (2008) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Díaz Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan Pablo Toro Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ronald Fuentes Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan Pablo Ojeda Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. César Bravo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jorge Pellicer Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Andrés Aguayo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Ponce Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pedro Reyes Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Ugarte Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. José Luis Sierra Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gonzalo Villagra Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Ramírez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Dominique Chamorro Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Michelle Salazar Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mirko Rivera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Diego Sánchez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Misael Dávila | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Muñoz Riquelme | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jorge Ampuero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nelson Córdova (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ramiro Carrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Gary Tello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Cristián Guerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Sebastián Jaime (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Ángelo Pizzorno (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Carlos Palacios (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Thomas Galdames (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Ignacio Nuñez (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Luis Pavez Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Luis Pavez Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Víctor Méndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Bastían Yañez (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Nicolás Fuentes (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Santiago Gallucci (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ramiro González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Juan Pablo Gómez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Israel Poblete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tobías Figueroa (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamin Cam (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Yáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Galdames | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Palacios | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Llanos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sánchez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Ezequiel Palomeque (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Seymour | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gary Tello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Manuel Aja (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. José Luis Sierra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José Echave (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Gómez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Pávez Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Larenas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Caballero (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Dávila | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Varas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Galdames | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Felipe Méndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Pávez Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Maureira (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Jeremy Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Carlos Matheu (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
