- 1. Bastián Cabrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paolo Fuentes (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio André Ruiz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Claudio Tenorio | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Alvarado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Moreira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Ballesteros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Melo (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Yonathan Parancán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Povea | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Yáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Romo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Soto (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Matías Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Rafael Basaez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Rodríguez Vegas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Martínez Aceitón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Del Piero Benítez | DEL (Del) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ángel Mansilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Jelves | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bielkiewicz (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sobarzo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Frank Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Castro (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kilian Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Abarca (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Pérez Álvarez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Domínguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Riffo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Uribe | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Peralta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Canto (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Julio César Gallardo (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Millape (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Barrientos (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Belmar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Namoncura (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Becerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Navarrete (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Samir Sacre (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Matías Barrientos (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Castellanos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Ambiado (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Ángel Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Pezoa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Vega (PER) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Cáceres Aranda (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Mancilla (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Sereño (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Báez (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Abarca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Campano (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Josimar Vargas (PER) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Rosales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Ramos (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Venegas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Álvarez Carrillo (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Faúndez (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Matamala (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yonathan Suazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Vicencio | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Fuenzalida | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Peralta (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Ayala (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Guajardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Lauler | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Maureira (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Sanguinetti (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Ascui (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Carlos Acuña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Leiva (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Emilio Moreno | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Pedernera (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
