- 13. Álvaro Ogalde Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Morales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Moreira (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Moreyra (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Escobar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Zacarías Abuhabda (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Paz (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Riquelme (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Paz Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Milena Rubilar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gloria Cantillana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Makarena Rubilar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Julia Osse Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Morales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Barahona Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Augusto Aguirre (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Torrealba Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Peñailillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yonathan Andía Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Pacheco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alfonso Parot Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pamela Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Valencia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Guerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Alfonzo (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Molina (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Luis Felipe Roa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Felipe Del Alcazar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Carlos Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Javier Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Ormeño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Saavedra Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Eduardo Gaete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Javier Ramírez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gerald Collao Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Emmanuel Valdebenito Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Sebastián González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabrizio Galindo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Moises Morales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Iván Montenegro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Mardones Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Durán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Matías Carvajal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Marcelo Cáceres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Salinas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Gabriel Lepe Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Matías Delgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Retamales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Quilaleo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Luis Romero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Cristhian Collao Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Abán (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Sebastián Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Ivo Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Elías Borrego (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alex Rubén Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Ballesteros Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Pino Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gianfranco Sepúlveda (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Villarroel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Estrada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego González Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabrizio Manzo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Mundaca (2000) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Godoy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yeiko Cartagena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Camilo Badilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Pérez (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Abdala Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Cabrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Césped Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Juárez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Fritz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Ramírez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Mariñelarena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Morales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Branco Provoste Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Pinto (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sindy Painemilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Salvador Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nayareth Orrego Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Josefina Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carmen Salinas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Anaís Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Catalán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Dylan Portilla (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Álvarez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Romero (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Harol Salgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Josué Ovalle Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Silva (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- César Pinares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Elizabeth Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Hidalgo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Macaya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Katherinne Ojeda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fanny Velásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Poblete (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Maythe Baez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brisa Gómez Navarrete (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Atalia Quezada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Arce (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Felipe Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- César Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Flavio Moya (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Meneses Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ramón Martínez (PAR) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Kevin Beechay Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Walter Marcelo Aguilar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Fabián Pizarro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Chávez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Cataldo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- César Videla Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Castro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Francisco Castillo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ponce Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Matías Lobos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Álvarez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Luis Felipe Pinilla Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Jesús Gaete Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Brito Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Jesús Yáñez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Toro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pérez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Silva Gaunes (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Nicolás Ortega Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Dante Bustamante Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Wladimir Cid Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Diego Huerta Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Vega Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Araya (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Flores Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Quiñones (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Ramírez Cadogán (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Inostroza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Sebastián Romero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Bryan Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jairo Vásquez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Sánchez (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Willian Gama (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Olivares (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Tarifeño Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Cárcamo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Aldrix Jara Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Da Silva (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Díaz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Flores Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Quezada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Mariñelarena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Muriel Tapia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Matamoros (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gloria Muñoz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bairo Riveros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Guerra (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Paul Charpentier (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Karolayn Gálvez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Miranda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Barrios Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yorman Zapata (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Plaza (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Pons (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jane Oyarce Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Marín (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Sosa (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Montecinos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Arturia (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Álvarez (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Guzmán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Erwin Durán Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ramón Clíment Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ítalo Pinochet Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gino Alarcón Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mauricio Riffo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Ramírez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Palma Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Víctor Rivero Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Octavio Zuleta Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Sebastián Tapia Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Erwin Durán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Álvaro Ogalde | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. José Olmos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Germán Guerrero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Luis Felipe Roa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Bruno Villablanca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Montenegro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Bryan Chépulich | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Felipe Del Alcazar | DEL (Del) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Pedro Valladares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Jordano Cisterna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Carlos Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Javier Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Ormeño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Poblete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Luciano Cisterna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Saavedra Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Patricio Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Eduardo Gaete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Javier Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gerald Collao | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Kevin Beechay | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Vilches | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Emmanuel Valdebenito | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Sebastián González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Walter Marcelo Aguilar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Fabián Pizarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Chávez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Cataldo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Videla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabrizio Galindo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Francisco Castillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Moises Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Iván Montenegro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Arenas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Mardones | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Marco González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Abel Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Durán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Mauricio Toro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Matías Carvajal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Matías Lobos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Luis Felipe Pinilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Jesús Gaete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
