- Paz Valdivia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Ignacio Jeraldino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Sebastián Abreu Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Sergio Santos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Matías Saavedra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Bogado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Herrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Delgado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Jeraldino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Leonardo Rolón (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Holgado (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Fuenzalida Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Jesús Hernández (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sol Morales Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Orellana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Ramírez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Aedo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Montecinos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrea Gamboa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Carmona Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lautaro Palacios (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Vadulli Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Silva Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Massami Gutiérrez (2003) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Federico González (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Pino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángela Madriaga Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alessandro Riep (2003) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Sosa (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Riveros (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Hachen (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vairoa Atán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Rodríguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Quiñones (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Edruan Paredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Paolo Guajardo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Arriagada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Sánchez Bastias (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joel Ahumada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yazmín Torrealba Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nazareno Bazán (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Troyansky (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis González (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sabrina Monsálvez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Troncoso Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Vargas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Coelho (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Favian Loyola (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Giovani Chiaverano (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Cabral (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan José Ribera Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hugo Vilches Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Meneghini (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. José Calderón Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pablo Sánchez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mauricio Solís Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Manzor Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Macarena Deichler Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Manuel Fernández (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luca Marcogiuseppe (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Walter Erviti (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nelson Tapia Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Arrué Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Solange Frost Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Raúl Aburto Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Solis Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Lema (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. José María Bazán (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Jacqueline Montes Portera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Daniela Rojas Portera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Dominique Chamorro Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Paulette Marcell Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Catalina Martabit Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Nicolás Peric | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Labrín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Osvaldo Bosso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Manuel Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Fabián Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Matías Campos Toro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cornejo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Carrasco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Tarifeño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joe Abrigo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Ignacio Jeraldino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Joaquín García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Sebastián Abreu | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Roberto Romero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Crovetto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Leiva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Sergio Santos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Sebastián Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Iván Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Iván Ledezma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Luis Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Ariel Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jorge Faúndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Joaquín Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nicolás Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Ricardo Escobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Matías Saavedra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Bryan Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Oliver Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- René Meléndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Bottinelli | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
