- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Jéssica Gutiérrez Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Jennifer Cáceres Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Francesca González Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Natalia Aravena Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Catalina Valdebenito Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Axel Arce (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Martínez (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Pavez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Arrué | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Diego Diellos (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego González Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Pezoa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Ríos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Núñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Fritz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Felipe Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
