- Nicol Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marian Jerez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paulina Pinto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Olivares Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Cerezo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ezequiel Luna Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jorge Ampuero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Carlos Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mario López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fernández Cordero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Rebolledo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Alvarado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jorge Ampuero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Jonathan Durán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Jocelyn Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Karime Orozco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Retamal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Manuel Aja (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Reinoso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Facundo Kidd (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. María Ortiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Annette Ormeño Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Paz Bachsmann Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Henríquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franz Schultz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Velásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Vásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Meneses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Barboza (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- John Santander Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Miguel Margas (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Briones Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Danais Cárdenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Yanine Rebolledo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Ximena Mulatero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Gálvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Jélvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mariana Arancibia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María José Tiznado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Garrido Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Ortiz (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Milagros Violo Villarruel (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Contreras Muñoz (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mía Ivroud (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vannia Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Vilchez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Taizo Bahamondez (2007) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Solange Camargo (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- John Salas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Felipe (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor González Chang Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Estay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Katheryn Holm Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Dubó (2007) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Cáceres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Navarro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Cuadra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Plaza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis García Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Medel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Luis Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Plaza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Villarroel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yeiko Cartagena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Bustos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Cubillos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yamila Pérez Cordero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karen González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Matías Campos Toro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Néstor Canelón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Hidalgo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Miño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Quiñones Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Carlos Rodolfo Rotondi Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jason León Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Esli García (VEN) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Madeline Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Romina Cuesta Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Bustamante Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Elizabeth Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Nicole Madariaga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Karla Neira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yocelyn Escobar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Florencia Botto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Souling Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Camila Maldonado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Laura Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Damián Arce (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Pereyra (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Parra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Álvarez (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jefferson Castillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Jaime Valdés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Astudillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Mariñelarena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Villanueva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Iglesias Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Corral Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sofia Alvarado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Gatica Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Cañete (PAR) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Navarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Cabrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Amaia Gallardo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Edna Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Manríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Farías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- María Dana Fuentes (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fiorella Martínez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ivanna Faúndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Vergara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Garrido Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Ormeño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- César Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Silva (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Albanez (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Leguiza (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Araya (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Campano (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Avendaño (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Ponce (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacia Villegas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karla Villacura Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Luco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacia Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brisa Gómez Navarrete (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ethan Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Navarro (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Luna (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alicia Jerez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ana Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Álvarez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Molina (2008) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Valenzuela (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabiana Vallejos (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacia Aguayo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Villarroel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Valencia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Gutiérrez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Francisco Castro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Lanaro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lionel Altamirano (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Willian Gama (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Aldrix Jara Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Kennan Sepúlveda (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Quezada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Rebeca Fernández Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Ubilla Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ronnie Fernández Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Catalina Boye Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Vallejos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Maicol Cabrera (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Cepeda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Paolo Guajardo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mary Valencia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Romina Orellana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- John Valladares Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Castro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Ezequiel Rescaldani (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Thomas Amilivia (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Muñoz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Iker Hernández (ESP) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Cortés Barreiro (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Milton Alegre Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Campos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Duma Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Zeballos (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Astroza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Opazo (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Vera Olivares (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Jaramillo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Oñate Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Arias Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Vilches Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Miranda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Guadalupe Donato (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Pínnola (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- María Gracia Rosales Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Anays Miranda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marinka Huircán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Flores (2007) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Salomé Robledo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Pablo Monreal Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Maximiliano Cuadra (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fanny Rodríguez (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Silva (2008) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Lobos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Parraguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Camarda (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Vargas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Ramírez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Moisés Villarroel Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Silvio Fernández Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ronald Fuentes Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Felipe Reyes Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Víctor Rivero Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Emiliano Astorga Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Víctor Rodo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jorge Garcés Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Domingo Sorace Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. John Valladares Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Ponce Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Palladino (URU) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mario Vera Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime García Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Robles Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Osvaldo Cataldo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Saldaño Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Chiara Bacigalupo Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Cuadra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Valencia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Cerezo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Plaza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Elías Hartard | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ezequiel Luna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Alarcón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Francisco Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Lanaro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jorge Ampuero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Carlos Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lionel Altamirano (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Medel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fernández Cordero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Marín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Viana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Rebolledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Willian Gama (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Alvarado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Elías Hartard | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jorge Ampuero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Luis Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Plaza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Moisés Villarroel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Villarroel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yeiko Cartagena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Jonathan Durán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Bustos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Navarrete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aldrix Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Cubillos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kennan Sepúlveda (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Silvio Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
