- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Agüero (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Stéfano Magnasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valery Otárola Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carol Ardiles Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Zuleta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cortés Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Bruna Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Margoux López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Godoy Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Bacho Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristina Echeverría Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Maturana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Valeria Barraza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daiana Masselli (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Mauricio Regodeceves Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mackarena Alfaro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aline Bello Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Ramón (BRA) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Marcelo Herrera (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Ulloa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jens Buss Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Cáceres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Castillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Krishna Carmona Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Ortiz (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Henry Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Saavedra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rodríguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jherson Reyes (PER) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Santelices Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabian Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Dinamarca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ana Bruna Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Guerrero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Osorio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Guajardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Stéfany Orozco (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Tabilo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Karina Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Treisy Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Ferreyra (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pinto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Zanini (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jeyson Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Sáez (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Fernández (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rafael Delgado (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yahir Salazar (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Gaínza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Jhon García Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Cristóbal Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Paolo Vasquez (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Kevin Guajardo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Bastián Araneda (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Catalán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Diego Bustamante Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Francisco Román Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Javier Bayk (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Sebastián Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Medel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Monardes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Felipe Milla (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Matías Ortega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Franco Cortez (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Diego Castro (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Cubillos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Osvaldo Godoy (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Carlos Díaz Bonilla (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Jaime Valdés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Leyton Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- David Vallejos (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Barrientos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Gerónimo Poblete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Viviana Acevedo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Milenka Gavilán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Quiñones Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Felipe Jaramillo (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Carreño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jimmy Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Matías Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Dittborn Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- María Cristina Julio Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Grettel Suazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yanka Cáceres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Paula Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mayerly Aguilera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mayra Cáceres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Claudia Maturana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carla Pizarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Camila Oro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Fernanda Erazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Martina Escobar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yaiza Maureira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Katherine González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Valencia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luckas Carreño (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Cristian Erbes (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Jorquera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jeison Fuentealba Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 38. Daniel Campusano (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gladys Esquivel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Toro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Miranda (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ethan Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Mederos (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Mardones Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Palacios (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Kirian Mundaca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Barraza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Katherine Maturana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Castro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Paola Guerrero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Rodríguez (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Treysi Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karolayn Barraza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Ayabire Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yhael Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Catalina Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- René Meléndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Villarroel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Gallegos (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Lobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Gallardo (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yayza Maureira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Elorza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Chamorro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Jara González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Ortiz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Zepeda (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Sepúlveda (2008) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valery Otárola Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gianella Bórquez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jocelyn Tagliaferro Valdez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karen Araya Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Viera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Michea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Escalante (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Milovan Velásquez (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joan Orellana (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francis Mac Allister (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Carvajal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ramírez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Pancho Iñigo Fernández (CAN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Mauricio Salazar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Lucas Cano (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Carmona Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Aníbal Carvallo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Montecinos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Marco Sebastián Pol (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Jaime Grondona Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alessandro Rizzoli Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. José Barragán (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Guerrero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Pablo Vranjicán (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Felipe Aracena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Calderón Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Paredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Franco Olego (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Danny Pérez (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Ponce Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Arriagada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Steffan Pino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- David Llanos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Humberto Suazo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Tonso (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Rodrigo Salinas (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Elena Cortés Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- César Munder Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Díaz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Benítez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Arantza Suazo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Karla Paredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Juan Ignacio Cavallaro (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Estigarribia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Salomé Robledo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Federico Andrada (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Vásquez (2003) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Dubó (2003) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Sánchez Sotelo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Arias Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Coria Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Reyes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Guiloff Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gia Castillo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lionel Altamirano (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Figueroa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo López (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lautaro Rinaldi (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Molina Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Cordero (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Delgado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Rivera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Covarrubias Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jeisson Vargas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Moreira Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lautaro Ovando (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Kauan (BRA) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabricio Díaz (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Henríquez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jennifer Azul Santibáñez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Aranza Segura Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Rojas (2008) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Contreras (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Emanuel Herrera (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Mendoza (MEX) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Oroz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rubio Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Stefanelli (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Marcoleta Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mauricio Segovia Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gonzalo Benavente Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Bozán Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Óscar Correa Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Ponce Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Venegas Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Wilson Fre Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ivo Basay Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pablo Marini (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan José Luvera (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
