- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Cazula (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Carrasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Calisto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Nieto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Aravena (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yesenia Arenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Katherine Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Elías Calderón (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yonathan Andía Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Monserrat Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Priscila Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Salomón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Filla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Opazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- John Santander Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Deyse Aguilera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dailis Pinto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Suárez (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nozomi Kimura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Jonathan Núñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Nicolás Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jefferson Castillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Jaime Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Manrriquez Valencia (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Quiero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Freddy Munizaga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jorge Gálvez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Felipe Elgueta Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Gaete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Johan Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Nicolás Escobar (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Mauricio Torrico (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Jürgen Mesías (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 24. William González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Alexander Escobar (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Andy Montoya (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Hans Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Galleguillos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Tomás Fuenzalida (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Ahumada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Benjamín Gálvez (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Mauricio Robles (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Mario Leiva (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Francisco Román Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Heredia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Esteban Pipino (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Martín Lucero (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Valdivia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Matías Rosas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Luna (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Manzano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Romo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Matías Grandis (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Matt Lagos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Toro (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rencoret Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Medel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Povea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Yorkaef Peña (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Marco Aguirre (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Águila Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Martina Escobar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Cabrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Rozas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carla Pizarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yanka Cáceres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gladys Esquivel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Danay Bogdanic Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Valentina García Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Guerrero Garretón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sophía Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Pais (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Felipe Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Kepec (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- María Paz Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Giselle Pinto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valeska Maza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Jones Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Briam Acosta (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jairo Coronel (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Mazurek (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Zamorano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Renata Cortez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Moris Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gloria Naranjo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Katalina Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Espoz (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Valenzuela (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Tabilo (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Pérez (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Ledezma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Ortiz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Rojas (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Pucheta (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Francisco Ibáñez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Germán Estigarribia (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Francisco Román Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Millán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Forttes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Felipe Araya (sub 20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Ponce Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Francisco Vazzoler (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Quinteros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio León Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Sánchez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Santiago Espina Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Frank Fernández Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Zederick Vega (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Kevin Orrián Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luca Pontigo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Steffan Pino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Federico Martínez (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Soza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Núñez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Vallejos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel López (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Bandez (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Díaz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Eitan Ramírez (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Reiner Castro (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Reynero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- John Valladares Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pamela Acevedo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Agüero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Karolayn Gálvez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Carlos Gaete Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tobías Figueroa (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Torres (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Espinoza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Barrionuevo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Araya (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Krystell Chávez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Osses (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Ross Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- César Díaz (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Gallegos (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Octavio Padovani (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina López Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nathasha Vega Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Chávez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nayareth Salazar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- María Alejandra Cortés Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Damián Sáez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lautaro Palacios (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Erwin Durán Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Almandoz (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rubén Sánchez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Emiliano Astorga Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jonathan Viveros Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Tapia Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Carlos Rojas Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ivo Basay Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. David Carmona Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hernán Caputto Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. David Reyes Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Raúl Carrizo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Rodríguez Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Krystel Chávez Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Guillermo Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Vincent Salas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Tiznado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Cristián Magaña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Soza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Jonathan Núñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Pucheta (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Nicolás Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Francisco Ibáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Germán Estigarribia (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Francisco Román | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Erwin Durán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Carlos Alfaro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jefferson Castillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Millán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Navarrete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Jaime | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Rodrigo Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Forttes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Manrriquez Valencia (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Emiliano Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Mansilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Diego García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Felipe Araya (sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Egaña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Quiero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Sebastián Ramírez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Freddy Munizaga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jorge Gálvez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Felipe Elgueta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Gaete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Francisco Sasmay | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Francisco Vazzoler (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Andrade | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Quinteros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Almandoz (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio León | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Jaime Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Johan Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jeremy Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Sánchez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Adrián Reta (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Santiago Espina | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Nicolás Escobar (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Mauricio Torrico (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Valdivia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Jürgen Mesías (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. William González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Alexander Escobar (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Andy Montoya (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Hans Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Galleguillos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Tomás Fuenzalida (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Ahumada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Benjamín Gálvez (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Rodríguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Mauricio Robles (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rubén Sánchez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Mario Leiva (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
