- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Matías Aguilar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Sebastián Díaz Escobar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Cristopher Ross Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Vicente Starikoff Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Matías Celis Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Elson Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Martín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Luis Felipe Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Rodrigo Moya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Diego Díaz Nuñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Felipe Maureira (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Mura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Dinamarca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Muñoz Uribe Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Julio Medel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ayala Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Diego Cayupil Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Harold Barra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- César Molina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Danko Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Diego Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Lee-Chong Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Silva Gómez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ormeño Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Servetti (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Delfino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- John Santander Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yonathan Suazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Zenteno Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cornejo Padilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aaron Astudillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Valdez (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcel Cortez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Lara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Miranda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paula Sánchez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Mondaca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Naomi Sáenz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Valentina López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Perla Guerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Pari Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Millaray Barra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Camila Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Cepeda (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alberto Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Retamal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ochoa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rachel Rubio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Moya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Ceballos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudia Maturana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Cornejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Alvarado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brayams Viveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rodríguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabrizio Tomarelli Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Saavedra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Astete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Gonzalo Mendiburo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Kevin Romo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jordan Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Claudio Riveros Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Catalán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Iván López Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Ariel Salinas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Alejandro Hincapié (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Rojas Ortega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Pacheco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Tomás Parra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Uribe Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Diego Ganga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. David Sidan (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Jaime Vidal (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Aguilera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Martín Inda (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. José Parra (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nicolás Higueras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gerson Acevedo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Lucas Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Romo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Jaque Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- David Sidan Núñez (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Martín (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Leonardo Gavilán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Sánchez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Joel Lew (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Arancibia (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Renato González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Carvajal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Navarro (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Néstor Canelón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gessle Guimenes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucero Chavi Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Césped Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Ragusa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Constanza González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Javiera Andaur Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Roxana Palma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Astete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nélyda Davies Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Ignacia Núñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Ingrid Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Viveros Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Maturana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emiliana Vidal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Loreto Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Zavka Alfaro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Dafne Irribarra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina León Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina López Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sandra Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Delgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Stephan Raddatz (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Escarlet Ampuero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Valdés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Lemmo (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jimmy Cisterna Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mikel Arguinarena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Del Piero Sapiain (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Onetto (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Valenzuela (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Terranova (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Espinoza (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jason Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Romero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Josefa Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Arriagada (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Fuentes (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Branco Provoste Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Báez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Lara (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Álvarez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Arismendy (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Campos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Sebastián Orellana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Paredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Melo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Jorge Meneses Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Bastián Lecaros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Mauricio Gómez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Venegas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Cuéllar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Paz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Luis Marcelo Salas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Diego Portilla Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Héctor Briones Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Rubio Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Tapia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Junio Lopes (BRA) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Aldrix Jara Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Lino Maldonado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ramírez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Nicolás Solabarrieta Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Wladimir Acuña Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Bryan Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Fierro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Lucas Simón Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Milton Alegre Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Zedán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Ovejero (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Ojeda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Riveros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Paul Pineda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Martín Amieva (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos González Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Pereira (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maikol Reveco (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Gutiérrez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Mauricio Delgado (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Barrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Germán Estigarribia (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Ponce Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Salinas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Vásquez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Fuenzalida Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Aylin Díaz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Verónica Riquelme Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alysson Osorio Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Soto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marinka Huircán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yazmín Torrealba Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- David Salazar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Soto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fátima Ossandón Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Consuelo Cerda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Parada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Sánchez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fabián Marzuca Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fabián Carvajal Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Frank Carilao Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Felipe Nuñez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jorge Schwager Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Cristóbal López Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Landeros Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Dany Falla Vargas Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Germán Moya Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Felipe Hernández Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Arrué Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Saldaño Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Francisca Christiny Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Carla Monserrat Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Matías Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Astete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Campos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Cristóbal Vásquez (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Sebastián Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Gonzalo Mendiburo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Cristián Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Paredes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Kevin Romo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jordan Moreno | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Melo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Matías Aguilar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Claudio Riveros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Cañete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Sebastián Díaz Escobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Catalán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Cristopher Ross | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Vicente Starikoff | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Matías Celis | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Iván López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Jorge Meneses | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Ariel Salinas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Bastián Lecaros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fabián Marzuca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Alejandro Hincapié (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Mauricio Gómez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Elson Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fabián Carvajal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Venegas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aarón Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Rojas Ortega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Cuéllar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Martín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Paz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Luis Felipe Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Luis Marcelo Salas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Pacheco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Samamé | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Rodrigo Moya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Tomás Parra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Diego Díaz Nuñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Uribe | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Diego Ganga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Felipe Maureira (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Mura | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. David Sidan (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
