- Carlos Lampe Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Velásquez (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maicol León Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Varas (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Valdivieso (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Nardi (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Rocha (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maria Paz Valdivieso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pino (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Leonel Macaya (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Muñoz Lobos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Fuentes Villa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Mellado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Ocampo (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Vargas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabiola Ayala (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Cancino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Castro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Toro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Harold Antiñirre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Osorio (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Leiva (2009) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Urzúa (2009) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Cáceres (2008) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jimmy Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Claudio Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Leonardo Povea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. César Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. José Caraballo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Jhon García Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Verdugo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Sebastián Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Altamirano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Piero Vivanco (PER) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Riquelme Anguita Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- César Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Barrientos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Povea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Piero Vivanco (PER) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Ramón Sáez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Yonatan Riquelme Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Ricardo Álvarez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Cuevas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Torres Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- John García (BOL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Molina (2000) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Israel Poblete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Garrido Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Lobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Velásquez (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Estrada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Montes (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karen Cona Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Evangely Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emilia Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Toledo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Patricia Fuentealba Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Kirly Navarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Cañete (PAR) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Katalina Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yaremi Retamal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlo Villanueva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Chandía Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Provoste Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Valentina Barra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Natalia Ruiz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Vega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Silva (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Nicolás Cárcamo (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Morales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Martínez (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Santander (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Saavedra Oliveros (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Ampuero (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Abarzúa (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Delgado (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Carrillo (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Aída Castillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Rubilar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcela Henríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Melgarejo (2009) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Uribe (2010) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Garrido Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Ortega (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rafael Caroca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Krystell Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrea Zúñiga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Melissa Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Altez (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Josefa Lagos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Vilches Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ezequiel Cañete (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Salazar (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Parraguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Gabriel Torres (PAN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Mauricio Godoy Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Sergio Bareiro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Charlis Ortíz (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Anthony Blondell Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Palmezano (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cris Martínez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Joaquín Verdugo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Godoy Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Baeza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Rodríguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Silva Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Alexander Succar (PER) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Danny Pérez (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Sánchez (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Sánchez Sotelo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Briceño Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Denilson Ovando (ECU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Joffre Escobar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Mazzanti Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- César Huanca Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Mancilla (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Ignacio Chandía Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Luciano Nequecaur (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yanette Jorquera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yenniffer Zambrano Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Recabarren Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tais Silva Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Brea (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Acosta (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Astudillo (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Dylan Oyarzún Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Figueroa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Darlin Charle Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Scarlett Carocca Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Magnin (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexandra Luengo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jeisson Vargas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Briceño Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sáez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Viviana Torres Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Hernsley Pierre (HAI) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Alvear (2007) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Simone Opazo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Herrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Cid Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Thiago Vecino (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Conelli Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lionel Altamirano (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Pincheira Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Arriagada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ezequel Morales (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Larcamón (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Larcamon (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Florentín (PAR) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Osvaldo Cataldo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan José Luvera (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Álvaro Burgos Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mario Salas Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Carlos Contardo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Guerrero Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Álvarez (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Saavedra Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Javier Sanguinetti (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Troncoso Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Daisy Mardones Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Igor Oca (ESP) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime García Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nilson Concha Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Santelices Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Gabriela Salgado Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Stephania Troncoso Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Lampe | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Hidalgo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Ignacio Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jimmy Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Claudio Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Leonardo Povea | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. César Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Parraguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Gabriel Torres (PAN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. José Caraballo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Mauricio Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Claudio Jopia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Córdova | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Jhon García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Cristián Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Verdugo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Federico Pereyra (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Sebastián Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Urra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Baeza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Altamirano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Sergio Bareiro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Piero Vivanco (PER) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Charlis Ortíz (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Riquelme Anguita | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Solano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Larcamón (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Anthony Blondell | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Manosalva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Palmezano (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cris Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Pereyra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Barrientos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Castellón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Joaquín Verdugo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Bizama | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. José Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Povea | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Nicolás Baeza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Piero Vivanco (PER) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
