- 12. Alfredo Mejías Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego González Salinas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Muñoz Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Héctor Daniel Mora | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Avendaño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Fuentes González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Claudio Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Díaz Toro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jeferson Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Salazar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Garrido Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Bustamante | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Barrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Rojas Cancino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Martínez Aceitón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nelson Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
