- José Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Katheryn Holm Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Danae Rivas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María José Tiznado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Morales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tiago Ferreyra (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Villegas (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian González (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Meza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucciano Moreno Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Millan (2007) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Durán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Maximiliano Rodríguez Maeso (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Bravo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Braulio Leal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Boris Sagredo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Gonzalo Rivas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Jonathan Bonilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ed Verhoeven Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Estrada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Moya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Jacobo Mansilla (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Césped Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Romo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Sebastián Mendez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Carlos Rodolfo Rotondi Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joel Amoroso Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Viveros Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Nicolás Lecaros Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Hormazábal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Hugo Soria (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Oguer Moyano (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Abán (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Rodrigo Castro (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alex Rubén Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Ortega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Bustos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Ezequiel Cirigliano (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Claudio Mosca (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Freddy Munizaga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Mendiburo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Andrés Lioi (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 36. Pablo Munzenmayer (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 40. Francisco Cabrera (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 39. Mauro Iturra (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Paz Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Cisternas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Daniela Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karen Peña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Jimena Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Vera (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Javier Bayk (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Valentín Barbero (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Felipe Bustamante Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Matt Lagos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejo Antilef Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mathías Vidangossy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pascal Botello Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Cisternas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Dafne Velásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Fiorella Spinetto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Moira Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Ayleen Leiton Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Navia (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Pávez Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marlon Carrasco (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Vargas (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Fernández (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diana Quezada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Victoria Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yannira Lagos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jannis Lagos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Alvarado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Arce (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Juárez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Retamales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Cabrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Novero (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diana Catalina Quezada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cony Guerrero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Allison Morales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esperanza Morales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- María Elisa Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Scarlett Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Clara Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Sanhueza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ninoska Terrazas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Felipe Silva (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Zamorano (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Monardes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gamal Plaza (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joel Torres (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Gerson Martínez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Escobar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Melivilú Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Franco Vivas (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Ronald Escobar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Mauro Caballero (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Diego Alvarado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Escobar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Montecinos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Osmar Leguizamón (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Parada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Ramón Lentini (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Fernando Soto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Sandoval Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Vega Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Dino Latorre Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Silva Cabrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Matías Valdivia Quiroz (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Simón García Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Milton Céliz (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Paul Pineda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Mariano Barbieri (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Zedán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Araya (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Leiva Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Luis Solignac (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Esteban Ciaccheri (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yerald Pinilla Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Lanaro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Campos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Rigoleto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Rafael Basaez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Fernando Coniglio (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Valencia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Maximiliano Cuadra (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diana Quezada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Zederick Vega (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Harding (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Meneses Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Carreño Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Milton Caraglio (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Kennan Sepúlveda (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Larraín (2003) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Humberto Suazo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Wladimir Cid Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Pastenes (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Muriel Tapia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renata Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Torres Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Carlos Gaete Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Carmona Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Aravena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Caballero (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Garnerone (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Mateluna (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gary Tello Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Scarleth Céspedes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Román Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Kel Bustamante Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Figueroa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Guajardo (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Flores Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gino Albertengo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Donoso Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Barraza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristel Orellana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- María Gracia Rosales Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Tarifeño Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Molina (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
