- 1. Lucas Giovini Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Mizala Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Paz Marambio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandra Cofré Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Josefa Cortés Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ezequiel Parnisari (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Ferreyra (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Arnijas (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Darko Fiamengo (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raimundo Rebolledo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Ulloa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Romo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Burgos (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Villaseca (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Maturana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Arlette Reineros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nahuel Brunet (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Henríquez (2001) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Saldías Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabrizio Tomarelli Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Yáñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Monreal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Briones Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Salvo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Henríquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Garrido Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza González Hidalgo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Josefa Moya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Renata Ramos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Pastene Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Núñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Álvarez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Palma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Cáseres (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Césped Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabrizio Manzo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Abán (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Fernando Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Gonzalo Barriga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Quiñones Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Valencia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Manzano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Matías Laba (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Leyton Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Zúñiga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Giovanni Davis (2000) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Castellani (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Seymour Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cordero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Abel Moreno (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Romo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yair González (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Iturra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Jorge Valdivia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Joaquín Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Bastián Oneto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Luis Maureira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Farick Haddad (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Martínez (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jeremy Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Liuzzi Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Williams Alarcón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Garrido Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Carvallo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mathías Vidangossy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Flores (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- César Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rafaella Godoy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Mondaca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Villarroel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Acevedo (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejo Antilef Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Buonanotte Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Egido Chacana (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Estay (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Augusto Max (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matias Maturana (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Álvarez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Katalina Salvador Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Génesis Castillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Francisca Godoy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Pía Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Zepeda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Josefa Inostroza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Aued Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Encinas (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Matus Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Morales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Tapia (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Ratto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Stephany Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Soto (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cony Guerrero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Parra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Madelein Neira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Elizabeth Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Estéfany Llanos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Álvarez Wallace (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Moya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Erik De Los Santos (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Farías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Brítez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Figueroa (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Vergara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Scarlett Núñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emilia Vega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Méndez (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlo Villanueva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal López Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Manuel Requena (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Carlos Núñez (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Mariano Barbieri (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Pablo Monreal Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Micolta (ECU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Rodríguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Matías Contreras Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Ramírez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Gianluca Simeone (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Bolados Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Matías Álvarez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Eugenio Isnaldo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Lobos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Marcelo Larrondo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Bou Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Stefanelli (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Sánchez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sáez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jeisson Vargas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Vilches Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Orellana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Vega Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cavalleri Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Octavio Rivero (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Damián Moreno Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 41. Stián Zamora Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 42. Bastián Ramos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Andrés Lacalle Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Alvear (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Passerini (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Carlos Gaete Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bairo Riveros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Lomónaco (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Aedo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ortiz (2003) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Abigaíl Ahumada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Barraza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Rodríguez Rosano (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Hauche (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Soldano (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Emmanuel Gigliotti (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Ponce Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Huerta Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Moya Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nayaret Altamirano Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Melany Santibáñez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Martínez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Silvana Hernández Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángela Barraza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- David Romero (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Saavedra (2008) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Insaurralde (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Mesías Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco López (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Rivera (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Eskárlet Godoy Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Hiriart (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Maureira Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Laura Reinoso Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Moroso Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Benegas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Oyarzo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Pozzo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Campos López Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Fernández (2007) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Meneghini (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Walter Coyette (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan Pablo Vojvoda Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luca Marcogiuseppe (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Martín Anselmi Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Carlos Galdames Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Federico Vilar (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Burtovoy (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gerardo Ameli (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Áriel Garcia (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Martín Cicotello (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Leonardo González Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Manuel Fernández (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Walter Lemma (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luciano Poggi Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Galleguillos Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Andrés Navarro (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Krisley González Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Gloria Ravanal Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Maturana Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Ruiz Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Martínez Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Lucas Giovini | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Carlos Núñez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Mariano Barbieri (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Wilson Piñones | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Pablo Monreal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
