- Diego Reyes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Espinoza (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Esteban Aguilera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Reyes Ortega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Marcos Neira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Yévenes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Zenteno Jiménez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rony Albornoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Neira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Piña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Concha | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Pérez Román | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Mardones | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Collao | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Núñez Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Ballesteros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Alonso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Medina | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
