- 1. Diego Figueroa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Uribe Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Matías Fernández Correa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Oyarzún Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Pablo Tamburrini Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Fuentes Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Génesis Palma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Damari Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valeska Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Márquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Katalina Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Vanessa Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alisson Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Nicolás Álvarez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Iker Pérez (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Wastavino Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Benjamín Torres (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Benjamín Villarroel (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Diego Constanzo (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nicolás Monsalve (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Luis Jara (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Estrada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Faúndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Astete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Matías Pavez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Joel Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gisella Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Renato González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joins Almonacid Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Quezada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Aqueveque Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Valentina Romero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Villablanca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Olearte Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pamela Coihuín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Canumán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Carrasco (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jocelyn González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Fuentealba Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Felipe Quintana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Andrade Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Diego Mancilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Cristóbal Paine Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Castro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Navarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Tomás Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Benjamín Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Diego Ramírez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Manfred Vera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Povea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Garrido Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Villagra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Burgos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rosas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Leonardo Olivera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Gastón Poncet (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Leonardo Uribe Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Cristopher Ojeda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Gustavo Lanaro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Alejandro Martínez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Ojeda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Francisco Ibáñez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Héctor Vega Guerra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Sebastián Pol Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Patricio Orellana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Diego Astudillo (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 29. César Mariluán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Boris Cisterna Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Hernández Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Marco Sebastián Pol (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Nicolás Servetto (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Riffo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Fenolio Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Jorge Cristián Córdoba (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Guajardo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Lucas Simón Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Agustín Urra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Axel Arce (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Emiliano Bonfigli (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Facundo Krüger (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Fierro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Guerra Olguín Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Rodrigo Linares Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Wilson Martínez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Xabier Santos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Matías Cárdenas (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Araya (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pérez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. John Jorquera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Harding (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Samuel Abarzúa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Melivilú Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Arbello (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Neira Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Roberto Romero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián López Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Casari (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Ruiz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Torres González (2001) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Matías Navarro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Benjamín Carrasco Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Damián Moreno Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Araya Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio André Ruiz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Norambuena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Acuña Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jorge Aravena Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Víctor Cancino Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pedro González Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Arturo Norambuena Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jürgen Press (ALE) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Ruiz (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Lautaro Peña Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Germán Cavalieri (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mauricio Segovia Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Marcoleta Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Mujica Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Iván Asenjo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Alejandro Maureira Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Vicente Kalleg Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Cristian Fernández Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Álvaro Alfaro Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Camila Yaeger Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Opazo Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Carla Briso Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Fernanda Obando Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kimberly Bravo Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kirlye Navarro Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Diego Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Eduardo Leal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Erick Wiemberg | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jorge Gálvez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Antonio Castillo (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Eric Pino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Cristián González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Dagoberto Currimilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Ignacio Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Leonardo Olivera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Carlos Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nahuel Donadell | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Andrés Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Fabián Inostroza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Esteban Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Jorge Fernández (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Gastón Poncet (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Diego Muñoz (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Andrés Souper (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Max Gatica | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Leonardo Uribe | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Cristopher Ojeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Pablo Leal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Gustavo Lanaro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Castillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Alejandro Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Jelves | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Cristhian Venegas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Cristián González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Ojeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Daniel Barreto (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
