- Camila Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. José Pedro Fuenzalida Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Germán Lanaro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Raimundo Rebolledo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Salomón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Cristián Álvarez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Branco Ampuero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Juan Carlos Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Cornejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raimundo Rebolledo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Stéfano Magnasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valber Huerta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Ferrario Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerco Oyanedel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Edinson Chávez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Helaine De Grange Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alfonso Parot Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Macarena Ávila Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Francisca Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Camila Cofré Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Nicole Saint-Jean Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Aileen Genkowsky Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aaron Astudillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Asta-buruaga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Finch Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Andrés Romero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Miguel Ardiman Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Sergio Vázquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Raimundo Tupper Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Sandoval Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Christian Jensen Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Novoa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Leiva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Gómez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Gali Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Figueroa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Baitea Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aileen Genskowsky Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Valentina Aravena Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nehuén Paz (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Arancibia Olguin (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 46. Carlos Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Isla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gary Kagelmacher (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Monserrat Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eugenio Mena Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Nieto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Burdisso (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Pinto (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Clemente González (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Guerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Koster (VEN) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Catalina Figueroa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ninoska Lecaros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Teresita Barrios Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Ávila Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gali Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Riquelme Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Peña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kathleen Brandt Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Santos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Pérez (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás L'Huillier (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Arantxa Araneda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marielle De Souza (BRA) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dylan Escobar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gary Medel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Arancibia (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Cisternas (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nickolas Pino (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paloma Santibáñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Salas (2008) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jeffrey Sekgota (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Cerezo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Díaz (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Diego Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Lobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- César Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Jaime Carreño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- César Pinares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Buonanotte Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Carreño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Aued Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Medel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Valentina Núñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Gabriela Aguayo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Consuelo Martín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Javiera Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Martabit Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Isabella Orta Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Isabel Celis Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Clemente Montes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Jaque Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelino Núñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Mario Lepe Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Nelson Parraguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Juvenal Olmos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Jorge Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Néstor Gorosito Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Max Müller Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Flores (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Iglesias Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Toro (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carla Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Millaray Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Naiara Kapstein Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Dolz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Vallejos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Consuelo Berrocal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Arriagada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tali Rovner Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Martina Cardemil Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. María Navarrete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Galani Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Cuevas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Yamil Asad (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Pérez (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Ortiz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Orellana (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Espinoza (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Felipe Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yamila Pérez Cordero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Rovira (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leenhan Romero (VEN) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Mercado (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Cárcamo (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas García Huidobro (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Caceres (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Millaray Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Emilia Pastrián Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Camila Guzmán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Consuelo Berrocal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yamila Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Camila Arriagada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Salvador Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Letelier (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Farías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Menossi (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alfred Canales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Torres (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joan Orellana (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vasco León (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emilia Pastrián Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Clavijo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Mejía Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Guzmán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Gómez (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ivette Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Zuqui (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Laura Marcela Ramírez (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Aguilar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alessandra Valle Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jader Gentil (BRA) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jhojan Valencia (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eduard Bello (VEN) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Hartard Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicol Sanhueza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ámbar Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Amparo Abarca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jimmy Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Gómez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Palavecino (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. David Llanos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Bolados Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- César Munder Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Diego Valencia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Vilches Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Leiva (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. David Henríquez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Valencia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Edson Puch Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sáez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jeisson Vargas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Duvier Riascos (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Hernández Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Montenegro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Rocío Maira Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Barticciotto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Lezcano (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Zampedri Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Aravena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Tapia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Rodrigo Barrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Alberto Acosta Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Luka Tudor Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Sebastián Rozental Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Byron Vásquez (Sub 20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Tolosa (2003) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Laura Santibáñez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Catalina Musutto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nardy Guzmán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Isabelle Kadzban Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Fabián Orellana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Lucas Melano (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Sepúlveda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Heyermann Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Milan Tudor (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Ossa (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yazmín Torrealba Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Di Santo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Cerda (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Francisco Rossel (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Corral (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Hiriart (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Urtubia (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Soto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vaitiare Pardo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pamela Cabezas López Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maya Pellegrini Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Castillo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tais Silva Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Thiare Parraguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Troncoso (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Arancibia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Amanda Trigo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Raién Gaune Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora León Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Justo Giani (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Girón (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Quinteros (BOL) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ronnie Radonich Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Dario Sala Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ariel Holan Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Manuel Pellegrini Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Cristian Paulucci (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Poyet (URU) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime Rubilar Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Valenzuela Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan Manuel Esparis (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ángel Hualde Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Nuñez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Tiago Nunes Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Evandro Fornari (BRA) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Milenko Valenzuela Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Daniel Garnero (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Agustina Heyermann Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Thiare Parraguez Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
