- Macarena Benavente | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Astete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Ortega (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Branco Provoste Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Carvajal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cordero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rafael Caroca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Tomás Rojas (PAR) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Martínez (2000) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joe Abrigo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lorenzo Reyes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Bastián Sagal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Belmar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Moraga (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jhonatan Tempine (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Zapata Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Merari Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valeska Hidalgo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Molina Canto (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Henríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Aránguiz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Vielma (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Neira (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Dittborn Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrea Zúñiga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Katia Puentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ana Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Vera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nasvely Ramírez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marlene Jara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Molina Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pascal Vera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Vielma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Flavio Moya (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Graciani (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Plaza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Cerda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Villanueva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Estéfani Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Espinaza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Noemí Caro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Valencia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Henríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yaremi Retamal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ingrid Peña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rocío Constenla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Josefa Barrientos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Ibáñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Aranis Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Cuevas (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Aracely Vega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Aldunate Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Justin Poblete (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Guido Segura (2009) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Crisstofer Montecinos (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Tapia (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Christian Bustamante Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Cristián Retamal Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- David Escalante (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ibáñez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mathías Pinto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pérez Catalán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Wladimir Acuña Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Xabier Santos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Reyes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Marco Araya (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Jose Larenas (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Pablo Prats Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Aníbal Carvallo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Sebastián Romero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Briceño Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Obando Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Coronado (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Moya Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Quinteros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Gutiérrez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Guerra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Torrealba Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Silveira Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Cisterna Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Reynero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Aravena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Rubio Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Ceballos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Oyarzo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Vilches Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alex Valdés Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Vera (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Gacitúa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Castro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ismael Sosa (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Silva Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Sánchez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Araneda (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Emanuel Herrera (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Saavedra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Erick Sepúlveda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Giovanny Ávalos (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renata Cancino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Anaís Contreras Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Vásquez (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pio Bonacci (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Toledo (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Sosa (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Caetano “Cacá” Colossi (BRA) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Rodríguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Ovelar (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Chavarria Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Rami (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Jeraldino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín González Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Araneda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Germán Cavalieri (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime García Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Vicente Nuñez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Santelices Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hernán Caputto Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Christian Guzmán Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mario Salas Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Arrué Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Alejandro Gaete Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Arteaga Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ronald Fuentes Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Castillo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan José Ribera Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Alexander Corro (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Bastian Reyes (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Braian Molina (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Valdivia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Camilo Reyes (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Christian Bustamante | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Cristián Retamal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Darwin Cerda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Escalante (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Mateos (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Fernando Lazcano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Avello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ibáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Johan Moreno | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Faúndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Kevin Hidalgo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mathías Pinto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Miguel Jiménez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Contreras Riquelme | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pérez Catalán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Wladimir Acuña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Germán Cavalieri (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Xabier Santos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Iván Pardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Brayan Valdivia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Quintana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Elias Bullon | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Guillermo Avello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Iván Ferrada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jorge Faúndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Jorge Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Walter Martínez (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Reyes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Paolo Pérez (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Claudio Tenorio | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Mateo Marcussi (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Alan Muñoz (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Demateis (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Benjamín Triviño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Marco Araya (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. José Herrera (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Jose Larenas (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Uribe | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Maximiliano Rios (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Paredes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Marcelo Vargas (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Felipe Rosas (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Pablo Prats | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Vicente Nuñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aníbal Carvallo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Rozas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nozomi Kimura | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Sebastián Romero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jovany Campusano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Briceño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Odriozola (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Astete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
