- Héctor Tello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Omar Jaque Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio González Carter Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Zavala Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Torrico Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Andrés Olivares Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Enzo Labarca Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Baeza Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Alejandro Castro Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Cuello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lenin Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Carlos Iduarte | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Muñoz Cortés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Alquinta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Brun | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kenny Galleguillos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Pablo Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Araya (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Emiliano Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Torrico | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Pinto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Campillay | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Ahumada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jimmy Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Aguirre | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Chepilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rojas Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Cortez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Andrés Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Ulloa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Danko Cortés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Marín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Moraga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Rodríguez Acosta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Yarko Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Monsalve | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Ubilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Adaros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Galleguillos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Ramírez Barraza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franklin Ávalos Malbrán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Encina | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Freddy Iturrieta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Felipe Monardes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Valdivia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Wellington Bugueño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Dorador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Carlos Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Andrés Rebolledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Bugueño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Agüero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. José Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jeampool Ottiker | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. José Neira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Enzo Labarca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jordan Murillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Oshman Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Manuel Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Felipe Medina | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Ibaceta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Héctor Ledezma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Carvajal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Álvarez Ocayo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Santibáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Águila | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Moraga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Madrid | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Barrionuevo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hans Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Omar Jaque | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Baeza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Pérez Yáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Enio Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio González Carter | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Rojas Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Zavala | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Patiño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Handrup Guerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Giovanni Concha | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Lutz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Torrico | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Gallardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Baltazar Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Alejandro Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
